id,L,a,b,hex_srgb,in_srgb
143,4.25,25.75,-16.375,#260026,0
144,4.25,35.25,0.5,#35000F,0
145,4.25,64.125,-67.875,#0F006E,0
146,4.3125,44.0,-18.625,#370029,0
147,4.375,32.0,7.375,#340000,0
148,4.375,42.625,-54.375,#00005A,0
149,4.375,47.875,-58.75,#000061,0
150,4.375,48.625,-43.0,#2A004A,0
151,4.375,69.875,-63.375,#2B0068,0
152,4.375,105.75,-81.625,#470084,0
153,4.4375,57.375,-40.5,#370047,0
154,4.4375,91.5,-84.125,#260088,0
155,4.5,39.375,-6.375,#37001A,0
156,4.5625,74.5,-53.875,#40005A,0
157,4.5625,104.0,-91.75,#2F0094,0
158,4.625,41.625,-10.375,#39001F,0
159,4.625,70.375,-70.875,#190074,0
160,4.625,82.5,-69.875,#360072,0
161,4.625,113.125,-86.625,#4C008D,0
162,4.6875,87.125,-65.25,#44006C,0
163,4.75,91.125,-76.625,#39007D,0
164,4.875,119.25,-91.125,#4F0094,0
165,4.9375,110.0,-96.0,#33009C,0
166,5.0,75.375,-75.75,#17007C,0
167,5.3125,115.625,-100.0,#3700A4,0
168,5.375,39.375,4.625,#3C000A,0
169,5.375,43.5,-14.375,#3B0026,0
170,5.375,57.375,-32.25,#40003E,0
171,5.5,8.0,-37.5,#001245,0
172,5.5,9.25,-35.25,#001141,0
173,5.5,10.625,-33.125,#00103F,0
174,5.5,11.875,-31.0,#000F3C,0
175,5.5,13.125,-29.0,#010E39,1
176,5.5,14.0,-41.0,#00104A,0
177,5.5,14.375,-26.875,#0A0D36,1
178,5.5,15.0,-38.375,#000F46,0
179,5.5,15.625,-24.625,#120B33,1
180,5.5,16.125,-33.875,#000D40,0
181,5.5,17.0,-22.5,#170A30,1
182,5.5,17.25,-31.375,#050B3C,1
183,5.5,18.375,-29.0,#0F0A39,1
184,5.5,18.375,-20.125,#1C082D,1
185,5.5,19.25,-42.875,#000D4C,0
186,5.5,19.625,-26.5,#160836,1
187,5.5,19.75,-39.25,#000B47,0
188,5.5,19.75,-17.625,#20062A,1
189,5.5,20.875,-24.0,#1B0632,1
190,5.5,21.25,-15.125,#240427,1
191,5.5,22.75,-30.875,#15063C,1
192,5.5,22.875,-12.5,#270223,1
193,5.5,23.625,-18.75,#24032B,1
194,5.5,24.5,-9.75,#2A0020,1
195,5.5,26.25,-6.875,#2D001C,0
196,5.5,27.0,-13.25,#2B0024,0
197,5.5,28.5,-20.0,#29002D,0
198,5.5,28.75,-29.875,#20003A,0
199,5.5,28.875,-10.375,#2E0021,0
200,5.5,30.0,-17.0,#2C0029,0
201,5.5,32.0,-24.0,#2A0032,0
202,5.5,32.375,-34.75,#1F0041,0
203,5.5,33.25,-52.25,#00025A,0
204,5.5,33.5,-20.875,#2E002E,0
205,5.5,35.5,-28.625,#2A0039,0
206,5.5,37.125,-25.375,#2F0034,0
207,5.5,37.5,-36.5,#240044,0
208,5.5,38.75,-55.375,#00005F,0
209,5.5,40.125,-0.625,#3C0014,0
210,5.5,41.125,-30.125,#30003B,0
211,5.5,46.25,-33.375,#33003F,0
212,5.5,51.25,-38.75,#340047,0
213,5.5,54.75,-48.625,#2E0055,0
214,5.5,58.5,-59.375,#210065,0
215,5.5,69.5,-56.0,#390060,0
216,5.5,76.125,-63.625,#38006B,0
217,5.5,78.125,-58.625,#420064,0
218,5.5,80.25,-79.5,#1A0084,0
219,5.5625,27.375,-32.875,#1A023F,1
220,5.5625,46.25,-50.25,#1C0057,0
221,5.5625,65.75,-42.75,#42004D,0
222,5.625,35.25,-17.75,#32002A,0
223,5.75,43.5,-3.75,#3F0019,0
224,5.75,57.625,-65.875,#02006F,0
225,5.75,124.0,-97.875,#4E00A2,0
226,5.9375,20.75,-36.5,#000B44,0
227,5.9375,30.75,-7.375,#32001E,0
228,6.0,-0.875,-0.375,#111414,1
229,6.0,41.875,-43.625,#22004F,0
230,6.0,43.125,-39.875,#290049,0
231,6.0,45.375,-23.0,#3A0032,0
232,6.0625,31.75,-14.0,#310026,0
233,6.0625,85.0,-83.25,#1D008B,0
234,6.0625,98.0,-80.5,#420087,0
