id,L,a,b,hex_srgb,slice_id
2099,7.0625,126.25,-97.875,#5700A5,113
2145,7.125,95.375,-91.0,#25009A,114
2204,7.3125,102.875,-85.375,#460092,117
2240,7.5,-20.75,-19.875,#002031,120
2253,7.5,-15.75,-24.75,#001E37,120
2255,7.5,-15.375,-16.875,#001E2D,120
2290,7.5,-9.5,-21.125,#001C32,120
2293,7.5,-9.375,-14.75,#001B2A,120
2331,7.5,-4.375,-10.625,#011924,120
2335,7.5,-4.125,-16.875,#00192D,120
2377,7.5,0.0,-12.25,#091727,120
2409,7.5,2.875,-7.0,#161620,120
2451,7.5,6.625,-4.625,#1D141D,120
2492,7.5,11.375,-2.0,#241119,120
2540,7.5,20.75,-48.0,#001259,120
2576,7.5,37.625,10.625,#410004,120
2580,7.5,39.0,-16.75,#3A002D,120
2583,7.5,40.625,-24.75,#370038,120
2602,7.5,75.0,-61.875,#3F006E,120
2607,7.5625,24.0,-0.375,#310518,121
2618,7.5625,46.5,-51.5,#1F005E,121
2630,7.625,16.75,0.875,#2B0D16,122
2634,7.625,40.75,-32.875,#320043,122
2648,7.6875,46.5,-39.25,#33004D,123
2657,7.6875,103.875,-96.875,#2C00A5,123
2683,7.75,111.875,-83.25,#590090,124
2793,8.0,50.875,-13.5,#49002A,128
2796,8.0,64.875,-34.25,#4D0047,128
2800,8.0,86.0,-87.0,#1A0096,128
2833,8.0625,24.25,-22.375,#270936,129
2874,8.125,42.625,14.0,#470000,130
2881,8.125,88.125,-62.125,#520070,130
2892,8.1875,73.875,-80.25,#07008C,131
2894,8.1875,91.375,-78.625,#410089,131
2896,8.1875,95.625,-83.0,#400090,131
2949,8.375,20.875,-40.875,#001250,134
3081,8.5625,119.5,-97.5,#5100A9,137
3089,8.625,109.25,-91.0,#4B009E,138
3121,9.0,63.75,-48.375,#44005D,144
3135,9.1875,79.25,-55.875,#500069,147
3142,9.25,49.25,6.5,#4F0013,148
3161,9.3125,76.5,-46.625,#55005C,149
3178,9.4375,59.75,-21.75,#520039,151
3202,9.5,-34.25,-11.875,#00262A,152
3214,9.5,-28.75,-16.0,#002530,152
3219,9.5,-27.25,-9.75,#002427,152
3244,9.5,-22.125,-13.375,#00232C,152
3250,9.5,-21.5,-7.375,#002224,152
3294,9.5,-15.875,-5.25,#002021,152
3370,9.5,-9.625,-3.125,#041E1E,152
3632,9.5,3.25,0.25,#1F191A,152
3743,9.5,7.75,2.375,#251718,152
3939,9.5,20.125,6.375,#340D12,152
4014,9.5,26.375,9.875,#3B050C,152
4025,9.5,27.125,-35.75,#1E0C4C,152
4075,9.5,31.0,-4.0,#3C0021,152
4078,9.5,31.125,2.875,#3E0018,152
4128,9.5,34.875,-36.875,#29024D,152
4132,9.5,35.25,-45.25,#1B055A,152
4146,9.5,36.25,-0.875,#42001D,152
4152,9.5,36.75,-60.75,#000A71,152
4247,9.5,47.25,-31.875,#3F0047,152
4317,9.5,62.25,-75.625,#000088,152
4319,9.5,62.25,-62.625,#2E0074,152
4322,9.5,62.5,-28.5,#520042,152
4333,9.5,98.375,-72.75,#580084,152
4334,9.5,119.125,-108.5,#3800BE,152
4336,9.5625,-1.5,-5.75,#141C22,153
4346,9.5625,12.375,-45.625,#001A5A,153
4361,9.5625,40.875,-56.125,#01016A,153
4366,9.5625,76.25,-73.125,#340084,153
4370,9.5625,125.25,-103.25,#5400B5,153
4374,9.625,38.375,-7.375,#430025,154
4376,9.625,44.75,-65.5,#000078,154
4377,9.625,61.5,-42.375,#480056,154
4378,9.625,70.125,-58.5,#42006E,154
4382,9.625,97.375,-96.125,#2300A9,154
4405,9.75,114.0,-95.25,#4F00A9,156
4416,9.8125,49.75,-2.0,#4F001F,157
4438,9.9375,6.375,-41.25,#001D55,159
4458,9.9375,90.125,-92.375,#1B00A4,159
4459,9.9375,108.5,-103.0,#2E00B6,159
4470,10.0,24.625,-53.625,#001567,160
4501,10.0625,83.875,-69.875,#490081,161
4523,10.1875,0.375,-28.75,#001E43,163
4527,10.1875,28.0,-12.75,#37072D,163
4532,10.1875,45.125,-7.0,#4B0026,163
4543,10.25,14.75,-18.875,#221636,164
4582,10.375,12.25,-37.875,#001A51,166
4591,10.375,68.75,-72.25,#280085,166
4669,10.5625,49.625,17.0,#550001,169
4670,10.5625,49.75,-25.625,#490040,169
4676,10.5625,56.5,-61.125,#290074,169
4686,10.5625,79.375,-85.625,#14009B,169
4689,10.5625,85.625,-81.125,#390094,169
4693,10.5625,99.625,-79.0,#550091,169
4706,10.625,108.5,-79.0,#620091,170
4728,10.75,70.125,-36.375,#590050,172
4756,10.875,118.125,-86.75,#67009E,174
4768,10.9375,93.25,-63.5,#600079,175
4791,11.125,41.25,19.125,#4F0000,178
4799,11.125,57.0,-7.5,#590029,178
4801,11.125,59.0,-16.0,#580035,178
4826,11.1875,83.125,-51.25,#5F0067,179
4842,11.375,48.25,-17.75,#4D0037,182
4864,11.5,-46.375,-3.75,#002C23,184
4871,11.5,-41.625,-7.75,#002B28,184
4881,11.5,-38.125,-1.75,#002A20,184
4913,11.5,-31.125,0.25,#00281D,184
4957,11.5,-25.0,-21.875,#00283C,184
4959,11.5,-25.0,1.75,#00261C,184
5050,11.5,-16.875,3.75,#002419,184
5097,11.5,-13.875,-31.25,#00264A,184
5155,11.5,-10.875,-9.875,#00232C,184
5213,11.5,-8.25,-36.0,#002551,184
5233,11.5,-7.625,6.375,#172116,184
5340,11.5,-3.75,-0.125,#19201F,184
5357,11.5,-3.25,7.5,#1E1F14,184
5359,11.5,-3.125,-40.25,#002457,184
5476,11.5,0.375,3.75,#211E19,184
5596,11.5,3.75,7.75,#271C14,184
5635,11.5,4.875,-11.625,#1C1D2E,184
5743,11.5,8.375,-31.125,#001E4A,184
5751,11.5,8.375,10.625,#2D1A0F,184
5781,11.5,9.625,-9.625,#251A2C,184
5874,11.5,12.875,8.25,#321714,184
5898,11.5,14.0,-29.375,#121A47,184
5926,11.5,15.0,-5.75,#2F1727,184
5971,11.5,17.125,12.75,#37140C,184
5977,11.5,17.375,-34.375,#0E194E,184
6002,11.5,18.5,-23.875,#251640,184
6062,11.5,21.5,-29.25,#231547,184
6185,11.5,28.0,-41.75,#181159,184
6228,11.5,30.25,-27.25,#320A44,184
6234,11.5,30.5,16.375,#450204,184
6376,11.5,38.875,5.375,#4B0019,184
6396,11.5,40.625,-39.375,#340056,184
6413,11.5,41.875,-12.0,#490030,184
6436,11.5,44.75,-45.0,#33005E,184
6474,11.5,52.0,-71.75,#000087,184
6486,11.5,56.625,-50.5,#3E0067,184
6488,11.5,61.75,-69.75,#200084,184
6497,11.5,92.375,-70.25,#590085,184
6498,11.5,102.625,-92.25,#4600A8,184
6499,11.5,123.25,-113.75,#3B00CC,184
6505,11.5625,4.125,-24.0,#011F40,185
6513,11.5625,23.25,-6.0,#380F27,185
6515,11.5625,45.0,2.625,#51001D,185
6517,11.5625,46.75,-56.75,#200070,185
6526,11.5625,61.25,-55.375,#3F006E,185
6531,11.5625,101.875,-101.625,#2600B8,185
6534,11.5625,112.5,-107.75,#3100C2,185
6537,11.625,33.625,8.875,#470014,186
6539,11.625,39.875,-48.625,#240364,186
6545,11.625,67.25,-80.125,#000095,186
6552,11.625,122.625,-91.5,#6A00A8,186
6557,11.6875,59.875,-36.875,#500053,187
6561,11.6875,91.25,-86.0,#3D009F,187
6568,11.75,36.375,-21.25,#3F003D,188
6576,11.75,69.0,-64.625,#3E007D,188
6578,11.75,77.0,-67.125,#470081,188
6592,11.875,-19.5,-26.5,#002844,190
6670,12.0625,53.0,-35.875,#490052,193
6671,12.0625,55.625,-29.25,#510049,193
6682,12.125,-5.625,-21.125,#00243D,194
6706,12.1875,-0.75,-18.625,#022239,195
6730,12.25,-12.125,-24.0,#002641,196
6772,12.3125,6.75,-46.75,#002363,197
6775,12.3125,24.75,-18.125,#351139,197
6800,12.3125,72.0,-49.25,#560067,197
6810,12.375,-17.25,-19.875,#00283B,198
6813,12.375,-6.25,-29.625,#002549,198
6817,12.375,13.75,-50.75,#002069,198
6820,12.375,28.75,-49.375,#001567,198
6847,12.4375,-32.625,-6.875,#002B29,199
6848,12.4375,-26.125,-4.625,#002926,199
6850,12.4375,-16.125,-13.5,#002733,199
6865,12.4375,34.125,-53.625,#00116D,199
6893,12.5,-10.875,-17.75,#002639,200
6901,12.5,18.875,-11.75,#321631,200
6938,12.5625,38.125,-66.25,#001281,201
6950,12.5625,54.75,3.75,#5D001E,201
6951,12.5625,55.0,12.375,#5E0012,201
6953,12.5625,56.125,-67.0,#1D0083,201
6963,12.5625,73.25,-85.625,#0000A0,201
6965,12.5625,81.125,-76.5,#410092,201
6967,12.5625,89.125,-56.0,#660072,201
6969,12.5625,98.0,-86.375,#4D00A2,201
6981,12.625,81.75,-91.75,#0000AB,202
