id,L,a,b,hex_srgb,in_srgb
142,7.5,-20.75,-19.875,#002031,0
143,7.5,-15.75,-24.75,#001E37,0
144,7.5,-15.375,-16.875,#001E2D,0
145,7.5,-9.5,-21.125,#001C32,0
146,7.5,-9.375,-14.75,#001B2A,0
147,7.5,-4.375,-10.625,#011924,1
148,7.5,-4.125,-16.875,#00192D,0
149,7.5,0.0,-12.25,#091727,1
150,7.5,2.875,-7.0,#161620,1
151,7.5,6.625,-4.625,#1D141D,1
152,7.5,11.375,-2.0,#241119,1
153,7.5,20.75,-48.0,#001259,0
154,7.5,37.625,10.625,#410004,0
155,7.5,39.0,-16.75,#3A002D,0
156,7.5,40.625,-24.75,#370038,0
157,7.5,75.0,-61.875,#3F006E,0
158,7.5625,24.0,-0.375,#310518,1
159,7.5625,46.5,-51.5,#1F005E,0
160,7.625,16.75,0.875,#2B0D16,1
161,7.625,40.75,-32.875,#320043,0
162,7.6875,46.5,-39.25,#33004D,0
163,7.6875,103.875,-96.875,#2C00A5,0
164,7.75,111.875,-83.25,#590090,0
165,8.0,50.875,-13.5,#49002A,0
166,8.0,64.875,-34.25,#4D0047,0
167,8.0,86.0,-87.0,#1A0096,0
168,8.0625,24.25,-22.375,#270936,1
169,8.125,42.625,14.0,#470000,0
170,8.125,88.125,-62.125,#520070,0
171,8.1875,73.875,-80.25,#07008C,0
172,8.1875,91.375,-78.625,#410089,0
173,8.1875,95.625,-83.0,#400090,0
174,8.375,20.875,-40.875,#001250,0
175,8.5625,119.5,-97.5,#5100A9,0
176,8.625,109.25,-91.0,#4B009E,0
177,9.0,63.75,-48.375,#44005D,0
178,9.1875,79.25,-55.875,#500069,0
179,9.25,49.25,6.5,#4F0013,0
180,9.3125,76.5,-46.625,#55005C,0
181,9.4375,59.75,-21.75,#520039,0
182,9.5,-34.25,-11.875,#00262A,0
183,9.5,-28.75,-16.0,#002530,0
184,9.5,-27.25,-9.75,#002427,0
185,9.5,-22.125,-13.375,#00232C,0
186,9.5,-21.5,-7.375,#002224,0
187,9.5,-15.875,-5.25,#002021,0
188,9.5,-9.625,-3.125,#041E1E,1
189,9.5,3.25,0.25,#1F191A,1
190,9.5,7.75,2.375,#251718,1
191,9.5,20.125,6.375,#340D12,1
192,9.5,26.375,9.875,#3B050C,1
193,9.5,27.125,-35.75,#1E0C4C,1
194,9.5,31.0,-4.0,#3C0021,0
195,9.5,31.125,2.875,#3E0018,0
196,9.5,34.875,-36.875,#29024D,1
197,9.5,35.25,-45.25,#1B055A,1
198,9.5,36.25,-0.875,#42001D,0
199,9.5,36.75,-60.75,#000A71,0
200,9.5,47.25,-31.875,#3F0047,0
201,9.5,62.25,-75.625,#000088,0
202,9.5,62.25,-62.625,#2E0074,0
203,9.5,62.5,-28.5,#520042,0
204,9.5,98.375,-72.75,#580084,0
205,9.5,119.125,-108.5,#3800BE,0
206,9.5625,-1.5,-5.75,#141C22,1
207,9.5625,12.375,-45.625,#001A5A,0
208,9.5625,40.875,-56.125,#01016A,1
209,9.5625,76.25,-73.125,#340084,0
210,9.5625,125.25,-103.25,#5400B5,0
211,9.625,38.375,-7.375,#430025,0
212,9.625,44.75,-65.5,#000078,0
213,9.625,61.5,-42.375,#480056,0
214,9.625,70.125,-58.5,#42006E,0
215,9.625,97.375,-96.125,#2300A9,0
216,9.75,114.0,-95.25,#4F00A9,0
217,9.8125,49.75,-2.0,#4F001F,0
218,9.9375,6.375,-41.25,#001D55,0
219,9.9375,90.125,-92.375,#1B00A4,0
220,9.9375,108.5,-103.0,#2E00B6,0
221,10.0,24.625,-53.625,#001567,0
222,10.0625,83.875,-69.875,#490081,0
223,10.1875,0.375,-28.75,#001E43,0
224,10.1875,28.0,-12.75,#37072D,1
225,10.1875,45.125,-7.0,#4B0026,0
226,10.25,14.75,-18.875,#221636,1
227,10.375,12.25,-37.875,#001A51,0
228,10.375,68.75,-72.25,#280085,0
229,10.5625,49.625,17.0,#550001,0
230,10.5625,49.75,-25.625,#490040,0
231,10.5625,56.5,-61.125,#290074,0
232,10.5625,79.375,-85.625,#14009B,0
233,10.5625,85.625,-81.125,#390094,0
234,10.5625,99.625,-79.0,#550091,0
235,10.625,108.5,-79.0,#620091,0
236,10.75,70.125,-36.375,#590050,0
237,10.875,118.125,-86.75,#67009E,0
238,10.9375,93.25,-63.5,#600079,0
239,11.125,41.25,19.125,#4F0000,0
240,11.125,57.0,-7.5,#590029,0
241,11.125,59.0,-16.0,#580035,0
242,11.1875,83.125,-51.25,#5F0067,0
243,11.375,48.25,-17.75,#4D0037,0
244,11.5,-46.375,-3.75,#002C23,0
245,11.5,-41.625,-7.75,#002B28,0
246,11.5,-38.125,-1.75,#002A20,0
247,11.5,-31.125,0.25,#00281D,0
248,11.5,-25.0,-21.875,#00283C,0
249,11.5,-25.0,1.75,#00261C,0
250,11.5,-16.875,3.75,#002419,0
251,11.5,-13.875,-31.25,#00264A,0
252,11.5,-10.875,-9.875,#00232C,0
253,11.5,-8.25,-36.0,#002551,0
254,11.5,-7.625,6.375,#172116,1
255,11.5,-3.75,-0.125,#19201F,1
256,11.5,-3.25,7.5,#1E1F14,1
257,11.5,-3.125,-40.25,#002457,0
258,11.5,0.375,3.75,#211E19,1
259,11.5,3.75,7.75,#271C14,1
260,11.5,4.875,-11.625,#1C1D2E,1
261,11.5,8.375,-31.125,#001E4A,0
262,11.5,8.375,10.625,#2D1A0F,1
263,11.5,9.625,-9.625,#251A2C,1
264,11.5,12.875,8.25,#321714,1
265,11.5,14.0,-29.375,#121A47,1
266,11.5,15.0,-5.75,#2F1727,1
267,11.5,17.125,12.75,#37140C,1
268,11.5,17.375,-34.375,#0E194E,1
269,11.5,18.5,-23.875,#251640,1
270,11.5,21.5,-29.25,#231547,1
271,11.5,28.0,-41.75,#181159,1
272,11.5,30.25,-27.25,#320A44,1
273,11.5,30.5,16.375,#450204,1
274,11.5,38.875,5.375,#4B0019,0
275,11.5,40.625,-39.375,#340056,0
276,11.5,41.875,-12.0,#490030,0
277,11.5,44.75,-45.0,#33005E,0
278,11.5,52.0,-71.75,#000087,0
279,11.5,56.625,-50.5,#3E0067,0
280,11.5,61.75,-69.75,#200084,0
281,11.5,92.375,-70.25,#590085,0
282,11.5,102.625,-92.25,#4600A8,0
283,11.5,123.25,-113.75,#3B00CC,0
284,11.5625,4.125,-24.0,#011F40,1
285,11.5625,23.25,-6.0,#380F27,1
286,11.5625,45.0,2.625,#51001D,0
287,11.5625,46.75,-56.75,#200070,0
288,11.5625,61.25,-55.375,#3F006E,0
289,11.5625,101.875,-101.625,#2600B8,0
290,11.5625,112.5,-107.75,#3100C2,0
291,11.625,33.625,8.875,#470014,0
292,11.625,39.875,-48.625,#240364,1
293,11.625,67.25,-80.125,#000095,0
294,11.625,122.625,-91.5,#6A00A8,0
295,11.6875,59.875,-36.875,#500053,0
296,11.6875,91.25,-86.0,#3D009F,0
297,11.75,36.375,-21.25,#3F003D,0
298,11.75,69.0,-64.625,#3E007D,0
299,11.75,77.0,-67.125,#470081,0
300,11.875,-19.5,-26.5,#002844,0
301,12.0625,53.0,-35.875,#490052,0
302,12.0625,55.625,-29.25,#510049,0
303,12.125,-5.625,-21.125,#00243D,0
304,12.1875,-0.75,-18.625,#022239,1
305,12.25,-12.125,-24.0,#002641,0
306,12.3125,6.75,-46.75,#002363,0
307,12.3125,24.75,-18.125,#351139,1
308,12.3125,72.0,-49.25,#560067,0
309,12.375,-17.25,-19.875,#00283B,0
310,12.375,-6.25,-29.625,#002549,0
311,12.375,13.75,-50.75,#002069,0
312,12.375,28.75,-49.375,#001567,0
313,12.4375,-32.625,-6.875,#002B29,0
314,12.4375,-26.125,-4.625,#002926,0
315,12.4375,-16.125,-13.5,#002733,0
316,12.4375,34.125,-53.625,#00116D,0
317,12.5,-10.875,-17.75,#002639,0
318,12.5,18.875,-11.75,#321631,1
319,12.5625,38.125,-66.25,#001281,0
320,12.5625,54.75,3.75,#5D001E,0
321,12.5625,55.0,12.375,#5E0012,0
322,12.5625,56.125,-67.0,#1D0083,0
323,12.5625,73.25,-85.625,#0000A0,0
324,12.5625,81.125,-76.5,#410092,0
325,12.5625,89.125,-56.0,#660072,0
326,12.5625,98.0,-86.375,#4D00A2,0
327,12.625,81.75,-91.75,#0000AB,0
328,12.6875,116.0,-102.625,#4F00BD,0
329,12.75,39.625,-27.5,#410048,0
330,13.0,104.375,-84.125,#5D009F,0
331,13.125,48.5,-11.375,#540033,0
332,13.125,57.75,-1.875,#600026,0
333,13.5,-57.125,4.125,#00311C,0
334,13.5,-52.875,-1.125,#003123,0
335,13.5,-50.875,5.375,#00301A,0
336,13.5,-42.375,6.875,#002E18,0
337,13.5,-39.25,-15.875,#002F38,0
338,13.5,-36.375,6.125,#002D19,0
339,13.5,-34.25,-21.25,#002E40,0
340,13.5,-30.5,9.0,#002C15,0
341,13.5,-29.125,-26.75,#002D48,0
342,13.5,-25.0,-31.25,#002D4E,0
343,13.5,-24.625,10.25,#002A13,0
344,13.5,-20.125,-1.5,#002924,0
345,13.5,-19.75,-34.25,#002C53,0
346,13.5,-18.0,11.5,#092812,1
